"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M"
"id","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households MOE!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households MOE!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households MOE!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households MOE!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households MOE!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households MOE!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households MOE!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households MOE!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households MOE!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households MOE!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households MOE!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households MOE!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households MOE!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Margin of Error!!Families MOE!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families MOE!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families MOE!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families MOE!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families MOE!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families MOE!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families MOE!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families MOE!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families MOE!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families MOE!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families MOE!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families MOE!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families MOE!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families MOE!!Total","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families MOE!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families MOE!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families MOE!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families MOE!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families MOE!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families MOE!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families MOE!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families MOE!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families MOE!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families MOE!!Total!!$200,000 or more","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families MOE!!Median income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families MOE!!Mean income (dollars)","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households MOE!!Total","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households MOE!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households MOE!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households MOE!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households MOE!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households MOE!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households MOE!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households MOE!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households MOE!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households MOE!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households MOE!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households MOE!!Median income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households MOE!!Mean income (dollars)","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"0400000US01","Alabama","1855184","11821","9.1","0.3","6.0","0.3","11.9","0.4","10.1","0.3","13.0","0.4","17.4","0.5","12.0","0.4","12.1","0.4","4.4","0.2","4.0","0.2","49861","783","69091","894","36.5","(X)","(X)","(X)","(X)","(X)","1214794","12486","5.1","0.4","2.9","0.3","8.9","0.5","8.9","0.4","13.0","0.5","18.9","0.5","14.9","0.5","15.9","0.5","6.1","0.4","5.4","0.3","63837","1085","82884","1100","(X)","(X)","37.6","(X)","(X)","(X)","879227","11979","1.6","0.2","1.4","0.2","5.0","0.4","7.1","0.5","11.7","0.6","20.2","0.7","17.6","0.6","20.2","0.7","8.0","0.5","7.2","0.4","78805","1200","98221","1551","(X)","(X)","(X)","(X)","(X)","(X)","640390","12125","17.8","0.9","12.2","0.7","18.3","0.7","12.4","0.6","13.2","0.7","13.4","0.7","6.0","0.5","4.4","0.4","1.1","0.2","1.2","0.2","26208","685","40905","1201","(X)","(X)","(X)","(X)","33.3","(X)"
"0400000US02","Alaska","254551","3266","4.5","0.6","3.3","0.5","6.4","0.7","6.6","0.7","10.3","0.8","19.3","1.3","13.4","1.0","19.0","1.3","8.3","0.8","8.8","0.9","74346","2288","96080","2597","33.1","(X)","(X)","(X)","(X)","(X)","167527","4191","2.9","0.5","2.0","0.6","3.9","0.6","5.7","0.9","8.8","1.0","18.4","1.5","14.1","1.3","22.9","1.5","10.3","1.2","11.0","1.2","89847","2908","109619","3025","(X)","(X)","35.0","(X)","(X)","(X)","127824","3685","1.1","0.3","0.8","0.3","2.7","0.6","4.4","0.9","7.0","0.9","16.8","1.6","14.6","1.5","26.5","1.8","12.7","1.5","13.3","1.6","102840","2848","122489","3796","(X)","(X)","(X)","(X)","(X)","(X)","87024","3673","9.1","1.6","6.2","1.1","11.5","1.5","9.7","1.4","14.1","1.6","21.6","2.2","11.4","1.8","8.9","1.5","3.7","0.9","3.7","1.1","49061","3318","63577","3746","(X)","(X)","(X)","(X)","26.9","(X)"
"0400000US04","Arizona","2614298","11305","6.0","0.2","3.6","0.2","9.5","0.3","9.3","0.3","13.5","0.4","19.1","0.3","13.1","0.4","14.2","0.3","5.7","0.2","5.8","0.2","59246","732","80477","862","36.6","(X)","(X)","(X)","(X)","(X)","1713006","14051","3.9","0.2","2.1","0.2","6.9","0.3","8.1","0.3","12.5","0.5","20.1","0.5","14.8","0.5","17.0","0.4","7.2","0.3","7.4","0.3","69981","914","92154","1142","(X)","(X)","38.0","(X)","(X)","(X)","1247270","13173","1.9","0.2","1.3","0.2","4.6","0.3","6.2","0.4","10.8","0.5","20.0","0.5","16.1","0.6","20.5","0.5","9.1","0.5","9.5","0.4","81830","812","105812","1426","(X)","(X)","(X)","(X)","(X)","(X)","901292","11708","11.4","0.6","7.0","0.4","15.4","0.6","12.2","0.6","15.9","0.6","17.0","0.6","8.8","0.5","7.6","0.5","2.4","0.3","2.3","0.3","38032","917","53887","1067","(X)","(X)","(X)","(X)","32.0","(X)"
"0400000US05","Arkansas","1156347","7393","8.2","0.5","6.1","0.3","12.3","0.5","11.3","0.5","15.2","0.6","17.8","0.6","10.6","0.5","11.3","0.4","3.8","0.3","3.6","0.3","47062","713","66766","1201","36.4","(X)","(X)","(X)","(X)","(X)","769134","11117","4.4","0.4","3.4","0.4","9.7","0.6","10.3","0.7","14.8","0.7","19.6","0.7","13.0","0.7","15.0","0.6","5.1","0.4","4.8","0.4","58080","1487","79300","1676","(X)","(X)","36.9","(X)","(X)","(X)","553461","9588","1.6","0.2","1.5","0.2","6.1","0.6","8.1","0.6","14.1","0.7","21.3","0.9","15.6","0.8","18.9","0.7","6.7","0.6","6.2","0.6","71629","1170","93381","2054","(X)","(X)","(X)","(X)","(X)","(X)","387213","9216","16.5","1.2","11.8","0.8","18.8","1.0","14.1","0.9","15.5","0.9","12.9","0.8","4.9","0.6","3.4","0.5","1.1","0.3","1.0","0.2","26682","713","38852","1617","(X)","(X)","(X)","(X)","34.0","(X)"
"0400000US06","California","13072122","21485","5.1","0.1","3.9","0.1","7.5","0.1","7.2","0.1","10.4","0.2","15.6","0.1","12.3","0.1","16.6","0.1","8.9","0.1","12.4","0.1","75277","317","107384","481","37.2","(X)","(X)","(X)","(X)","(X)","8934621","23655","3.4","0.1","2.1","0.1","6.0","0.1","6.7","0.1","10.2","0.2","15.6","0.2","12.8","0.2","18.4","0.2","10.3","0.2","14.6","0.2","86165","392","119820","592","(X)","(X)","38.0","(X)","(X)","(X)","6458423","27202","1.6","0.1","1.1","0.1","4.2","0.1","5.1","0.2","8.5","0.2","14.4","0.2","13.0","0.2","20.7","0.2","12.5","0.2","18.9","0.2","103099","616","139165","769","(X)","(X)","(X)","(X)","(X)","(X)","4137501","24438","10.3","0.2","8.4","0.3","11.6","0.3","9.2","0.2","11.4","0.3","15.6","0.3","10.6","0.2","11.8","0.2","5.0","0.2","6.2","0.2","48563","658","73834","765","(X)","(X)","(X)","(X)","33.1","(X)"
"0400000US08","Colorado","2176757","7548","4.9","0.3","3.3","0.2","7.2","0.2","7.4","0.3","11.7","0.4","17.5","0.4","13.6","0.4","17.5","0.3","8.2","0.3","8.7","0.3","71953","655","96218","1050","32.9","(X)","(X)","(X)","(X)","(X)","1372705","11369","2.6","0.2","1.6","0.2","4.2","0.2","5.7","0.4","10.1","0.4","16.8","0.4","15.3","0.5","21.0","0.5","10.8","0.4","11.9","0.4","88955","1084","114334","1397","(X)","(X)","33.6","(X)","(X)","(X)","1068185","11174","1.1","0.2","0.8","0.1","2.6","0.2","4.3","0.4","8.4","0.5","15.7","0.5","16.1","0.6","23.7","0.5","12.9","0.5","14.5","0.5","101379","897","128474","1754","(X)","(X)","(X)","(X)","(X)","(X)","804052","11317","9.4","0.6","6.3","0.4","12.8","0.5","10.9","0.6","14.7","0.7","19.0","0.8","10.2","0.5","10.6","0.6","3.3","0.3","2.7","0.3","45323","997","61339","1243","(X)","(X)","(X)","(X)","30.3","(X)"
"0400000US09","Connecticut","1378091","6923","5.3","0.3","3.9","0.2","7.2","0.4","7.2","0.3","10.1","0.4","15.5","0.5","12.2","0.5","16.9","0.5","9.3","0.4","12.4","0.4","76348","921","111303","1522","35.6","(X)","(X)","(X)","(X)","(X)","891935","10679","2.6","0.3","2.1","0.3","4.4","0.3","5.8","0.4","8.6","0.5","14.6","0.6","12.7","0.7","20.2","0.6","12.2","0.5","16.8","0.5","98100","1681","135132","2129","(X)","(X)","36.5","(X)","(X)","(X)","650317","10657","0.9","0.2","0.8","0.2","2.2","0.3","4.0","0.4","6.4","0.4","13.4","0.7","12.5","0.7","22.8","0.8","15.2","0.7","21.8","0.7","119492","2242","159884","2576","(X)","(X)","(X)","(X)","(X)","(X)","486156","9737","10.9","0.7","7.6","0.6","13.1","0.9","10.4","0.6","13.1","0.7","16.9","0.8","10.8","0.7","9.9","0.6","3.3","0.4","3.8","0.4","43412","1366","63647","1641","(X)","(X)","(X)","(X)","32.3","(X)"
"0400000US10","Delaware","367671","3933","6.0","0.7","4.0","0.5","8.3","0.8","9.3","0.7","11.5","1.0","18.2","1.0","13.7","0.9","15.7","0.9","6.6","0.7","6.6","0.6","64805","1570","84896","1884","46.7","(X)","(X)","(X)","(X)","(X)","238399","6155","3.0","0.6","2.0","0.4","5.7","0.8","7.7","0.8","10.0","1.1","19.2","1.3","15.9","1.1","19.5","1.2","8.4","0.9","8.6","0.8","79386","1970","99558","2852","(X)","(X)","46.4","(X)","(X)","(X)","173834","5109","1.1","0.4","0.9","0.3","3.3","0.8","5.4","1.1","8.4","1.2","19.1","1.5","17.1","1.3","22.9","1.5","10.6","1.0","11.0","1.1","90569","2613","114761","3568","(X)","(X)","(X)","(X)","(X)","(X)","129272","5606","12.8","1.7","8.1","1.2","13.8","1.7","12.7","1.5","15.0","1.7","16.0","1.8","9.5","1.5","7.0","1.0","2.5","0.7","2.5","0.6","37581","3159","53569","3096","(X)","(X)","(X)","(X)","45.4","(X)"
"0400000US11","District of Columbia","287476","2752","9.3","0.9","4.6","0.7","5.4","0.7","5.9","0.8","7.8","1.1","12.2","1.0","10.7","1.0","16.5","0.9","9.1","0.7","18.4","1.0","85203","3414","124946","3134","28.2","(X)","(X)","(X)","(X)","(X)","121529","3987","6.3","1.3","2.8","0.8","5.4","1.1","5.3","1.2","6.1","1.3","11.3","1.5","8.3","1.2","13.5","1.5","10.6","1.3","30.3","1.9","117713","9669","165174","6305","(X)","(X)","32.4","(X)","(X)","(X)","73009","3036","0.8","0.4","0.5","0.4","2.2","0.8","3.0","0.9","4.6","1.5","6.9","1.6","6.7","1.4","14.2","2.0","13.9","1.8","47.2","2.9","189213","13371","227903","9379","(X)","(X)","(X)","(X)","(X)","(X)","165947","4916","12.1","1.3","6.0","1.1","5.4","1.0","6.4","1.1","9.1","1.4","13.1","1.4","12.7","1.2","18.0","1.4","8.2","0.9","8.9","1.0","71189","2664","92251","3501","(X)","(X)","(X)","(X)","23.8","(X)"
